FOSSA N017.02.51.480 E103.49.50.920
FR08  N006.55.13.910 E100.17.50.510
FR26  N006.56.48.240 E100.30.21.510
FUNKY N013.13.42.700 E100.39.14.720
FURNO N016.55.43.910 E104.05.16.110
GAPER N009.37.59.530 E098.22.26.390
GARBO N014.46.57.330 E102.00.11.510
GAROL N008.21.20.780 E100.08.58.580
GAYOU N010.04.31.000 E098.49.54.790
GENOA N007.52.47.770 E098.32.34.830
GIFBY N008.32.24.270 E100.27.14.360
GINGA N012.23.05.390 E099.58.46.550
GODUM N009.47.52.890 E098.29.20.250
GOGOP N018.08.12.790 E098.51.49.680
GOGUN N016.50.16.130 E101.11.42.900
GOKEX N011.18.14.720 E100.25.43.590
GOKON N016.43.00.760 E100.48.33.820
GOLUD N006.17.06.000 E102.16.39.000
GOMES N013.24.06.100 E101.35.05.700
GOODA N015.17.06.080 E100.17.29.400
GORDU N019.04.02.040 E100.39.38.680
GORSI N013.30.54.640 E101.21.28.050
GOSRU N017.01.57.140 E099.56.09.390
GOSTA N017.15.57.300 E100.22.29.830
GOVDA N008.59.56.820 E099.10.10.290
GOVNO N016.42.01.700 E098.35.12.700
GOWHA N009.30.15.050 E098.27.51.390
GRACE N014.08.23.820 E100.44.31.190
GRASO N015.09.16.920 E103.47.14.070
GUBLU N005.46.44.550 E101.05.18.060
GUDNU N017.35.37.800 E101.56.06.270
GULNA N009.17.12.090 E099.17.10.720
GULNO N017.19.14.930 E103.17.35.080
GUMGI N019.10.27.380 E098.11.21.920
GUNYA N012.42.11.040 E100.06.28.220
GUPES N009.24.11.430 E099.16.23.390
GUPMO N008.50.11.560 E100.27.50.260
GUPNA N019.23.42.150 E097.56.08.210
GUROK N016.03.29.390 E104.11.05.840
GUSUN N015.23.21.760 E103.22.08.540
GUTSO N012.48.19.940 E100.34.54.300
GUZZO N007.18.19.690 E099.37.33.800
HAMOO N012.31.37.710 E100.51.16.770
HAVAS N008.44.03.110 E100.05.01.600
HHQ01 N012.47.29.170 E099.53.49.320
HHQ02 N012.46.03.540 E099.54.18.870
HHQNF N012.47.09.490 E099.53.40.000
HK450 N008.05.27.850 E098.04.55.350
HK491 N008.06.56.340 E098.20.33.130
HK495 N008.07.12.720 E098.23.27.480
HK497 N008.04.45.790 E098.27.33.350
HK572 N008.09.03.210 E098.26.05.950
HK580 N008.07.37.290 E098.27.49.400
HK591 N008.06.45.510 E098.18.38.060
HK597 N008.04.38.550 E098.12.04.420
HK680 N008.01.20.770 E098.13.25.290
HK760 N008.05.27.890 E098.27.15.810
HK870 N008.11.06.600 E098.13.09.790
HKTEF N008.07.21.700 E098.25.02.670
HKTWF N008.06.14.080 E098.13.04.760
HOKON N018.13.58.290 E099.42.26.870
HOLUA N018.20.58.080 E099.45.29.530
HOLYA N013.48.16.860 E100.21.21.080
HOTEL N013.00.06.200 E100.19.48.300
HUNNY N007.19.03.370 E099.52.50.500
HUNSA N012.32.15.730 E101.59.00.420
HURAE N006.52.11.700 E100.13.50.160
IBANA N020.09.45.260 E100.10.40.570
IBEGA N017.43.39.550 E102.42.08.610
IBETO N014.10.36.140 E099.29.45.680
IBIGA N009.07.23.590 E099.27.19.500
ICEZY N016.43.07.870 E102.48.28.710
IDAGA N011.00.06.800 E100.53.48.100
IDNAR N008.43.43.730 E099.15.23.830
IDRON N017.20.09.960 E103.10.11.120
IDRUK N008.27.23.860 E100.55.13.450
IFONE N012.40.11.240 E101.18.26.440
IGAKO N010.49.46.390 E099.34.10.810
IGEMU N017.27.13.100 E099.57.44.020
IGEVI N008.36.39.580 E098.23.19.780
IGNIN N019.18.56.580 E097.55.46.030
IGONI N014.26.32.730 E099.54.30.290
IKERA N009.31.46.390 E099.15.32.000
IKITA N017.35.20.750 E101.33.05.540
IKOGA N007.39.35.220 E101.32.34.940
IKULA N010.00.06.900 E097.21.14.000
INNDY N013.16.15.650 E100.37.28.680
INTOS N013.58.18.550 E100.19.47.120
INTUP N019.36.02.680 E099.56.16.930
INVAR N018.58.02.050 E100.39.31.360
INVEK N014.17.56.260 E100.28.55.920
IRICA N017.23.29.740 E104.09.02.670
IRNEM N009.14.50.400 E099.23.43.920
IRTIS N014.26.19.820 E100.43.30.680
ISBEL N016.47.54.240 E098.53.40.890
ISDEX N014.17.02.470 E100.32.29.780
ISMOM N009.15.57.900 E099.06.05.840
IVPOG N009.24.05.560 E099.13.08.880
JADED N009.55.41.300 E098.39.36.510
JADUM N009.34.43.030 E098.29.49.980
JAIGA N015.00.07.960 E102.24.43.060
JEEDA N008.13.24.320 E098.59.43.100
JELRY N008.32.27.170 E100.13.15.100
JIMMY N008.31.10.570 E099.03.01.280
JONEW N014.43.30.740 E101.50.51.770
JROCK N013.58.28.400 E100.15.21.610
JUMKA N018.24.28.730 E099.38.48.790
JUMPA N015.21.31.740 E104.38.06.520
JUTHA N012.55.22.140 E100.01.28.750
JUVEY N007.59.34.610 E098.06.43.500
KABMU N018.27.38.580 E099.32.47.050
KAJAO N017.03.36.570 E098.36.52.850
KAKET N010.52.08.110 E102.33.42.570
KALIM N008.05.06.260 E098.01.08.020
KALRO N016.18.02.160 E103.47.00.150
KALUX N016.43.07.800 E100.01.39.210
KAMAB N016.44.09.720 E100.37.31.280
KAMON N015.22.56.580 E104.42.28.140
KANOM N015.23.08.020 E105.02.13.990
KANYA N015.22.53.990 E105.02.20.580
KAOYA N009.21.56.020 E098.30.53.180
KARAE N018.30.09.070 E098.48.29.420
KARON N007.47.54.000 E098.11.36.000
KASNI N013.04.50.170 E100.40.41.880
KATBU N015.55.48.140 E104.00.28.290
KATIB N015.08.28.670 E104.31.17.730
KEDOB N018.09.43.010 E099.10.07.960
KEEDO N007.43.29.460 E099.23.30.440
KEXIL N017.42.04.370 E099.29.53.550
KHANA N012.51.51.970 E099.51.52.830
KHOTO N017.22.40.760 E101.34.31.470
KIBUG N005.54.01.260 E101.11.08.970
KIGOB N013.06.46.460 E100.51.06.330
KILEP N009.21.08.060 E100.12.00.280
KIMET N016.49.27.600 E099.44.29.320
KIRIN N006.43.32.720 E101.39.21.790
KITOM N009.50.08.010 E098.35.48.740
KITTY N015.13.19.110 E104.49.56.350
KKC01 N016.31.29.570 E102.49.21.460
KKCNF N016.33.20.930 E102.50.35.990
KKCSF N016.23.14.200 E102.43.50.210
KOKAM N009.42.35.400 E098.24.28.720
KOKIT N017.57.23.530 E099.29.55.030
KOLOK N006.26.37.000 E101.32.39.600
KOMON N009.47.17.340 E098.19.07.270
KOOHA N007.00.18.300 E100.08.55.300
KORNA N013.46.04.480 E100.22.25.410
KOYAI N007.16.06.840 E100.24.19.660
KOYAW N007.11.00.000 E100.36.42.000
KUGAR N012.12.21.610 E102.26.16.320
KUMTO N009.57.56.330 E101.11.46.800
KUNTA N012.32.33.090 E101.08.20.240
LAAUN N009.34.39.040 E098.30.00.270
LACOS N013.24.36.370 E100.39.57.980
LAGID N012.39.51.460 E101.20.54.940
LAGUX N017.03.04.270 E100.20.19.140
LAINO N013.49.16.400 E100.46.25.670
LAKOP N015.01.14.860 E103.14.58.670
LAKSA N016.35.27.600 E103.00.43.660
LAMMO N017.18.31.380 E104.14.12.980
LAMMY N018.59.56.750 E098.59.39.380
LAMNA N007.17.38.990 E099.23.34.450
LAMPA N018.29.54.970 E099.27.26.010
LAMUL N008.48.17.520 E098.52.08.160
LAMUN N019.05.13.140 E098.40.44.260
LANCO N013.51.13.810 E100.48.13.240
LANKA N006.52.46.900 E100.40.03.130
LAREV N020.08.22.990 E099.59.34.730
LASON N013.33.32.400 E100.49.20.920
LATIN N013.39.43.820 E100.50.21.890
LATUR N017.15.15.090 E103.03.27.720
LAXOS N009.41.30.780 E099.52.40.850
LAYWA N009.33.39.550 E098.46.08.200
LAZAM N008.05.35.530 E098.06.09.120
LAZIO N008.08.45.910 E098.01.08.140
LEBIM N013.05.14.810 E100.28.24.510
LEBOG N017.31.40.010 E102.29.56.440
LEDER N017.50.44.480 E102.28.24.550
LEMON N013.47.24.600 E100.47.12.600
LEMOS N014.01.03.350 E100.50.48.540
LERBU N010.58.37.010 E099.36.35.660
LERNI N006.27.05.830 E101.16.17.560
LESKU N005.48.35.150 E101.12.19.480
LEVGA N017.20.42.770 E103.05.45.340
LEVIN N013.34.08.050 E100.42.28.620
