D027L N008.42.58.348 E100.02.10.489
D028L N008.43.24.589 E100.02.38.540
D029K N016.16.40.159 E103.51.52.099
D030J N013.48.19.508 E100.48.52.138
D033H N014.00.20.998 E100.40.15.099
D034N N009.19.31.519 E099.15.51.569
D035O N008.18.47.030 E099.07.19.131
D035O N009.20.13.110 E099.16.38.110
D041L N016.19.01.790 E102.39.13.651
D041T N018.23.11.500 E100.23.46.208
D043M N015.24.15.390 E105.01.07.960
D046O N017.23.29.551 E104.19.17.828
D052M N015.22.50.469 E105.02.28.809
D053L N015.22.03.039 E105.01.48.460
D053O N009.16.58.990 E099.20.05.290
D054N N009.16.10.419 E099.19.26.209
D060M N016.34.46.020 E102.58.59.408
D061M N015.21.02.149 E105.03.43.311
D071O N012.43.05.408 E100.11.32.251
D072M N007.00.04.769 E100.35.42.489
D076L N008.10.01.898 E098.30.03.981
D080K N014.58.42.481 E102.29.51.831
D080O N012.42.34.351 E101.14.37.251
D082C N007.30.57.330 E099.40.33.128
D083K N015.16.03.201 E105.03.14.968
D083M N006.57.30.178 E100.36.15.890
D087R N016.43.05.469 E098.51.14.500
D094M N006.55.07.899 E100.36.18.838
D110M N016.23.43.051 E102.59.57.231
D117Q N018.41.05.470 E101.03.04.190
D125M N017.15.35.650 E102.57.37.479
D127J N007.24.29.001 E099.45.35.989
D139H N013.33.34.160 E100.49.22.940
D141P N007.54.05.371 E099.08.57.548
D143K N015.58.11.190 E103.53.11.749
D145K N015.05.30.901 E103.22.19.318
D145O N016.33.57.949 E100.26.33.608
D149O N016.33.23.011 E100.25.38.899
D150M N008.56.32.258 E099.14.47.180
D150N N009.20.38.540 E100.10.47.128
D153M N018.04.58.918 E099.36.20.361
D163J N018.06.59.781 E099.33.12.578
D163L N017.03.55.450 E099.52.37.419
D165J N008.22.59.289 E099.59.22.210
D165P N008.17.17.109 E100.00.59.738
D169K N012.29.11.540 E101.02.21.980
D172M N016.27.40.071 E101.13.55.088
D175F N018.10.35.950 E099.30.41.108
D175H N018.08.36.690 E099.30.52.570
D176N N012.52.02.920 E099.55.32.199
D182N N006.41.59.229 E100.22.47.009
D188L N008.20.44.289 E099.55.18.451
D189Y N009.21.52.351 E098.31.03.950
D190M N016.27.40.071 E101.09.41.140
D198P N008.17.25.951 E099.52.07.161
D201Q N018.32.33.021 E100.40.42.718
D202C N017.57.48.459 E102.31.16.820
D202E N017.55.56.099 E102.30.31.388
D202M N016.16.09.040 E102.42.10.828
D203O N009.32.47.061 E098.29.13.628
D204O N009.32.52.400 E098.29.01.129
D205J N009.37.34.460 E098.30.44.611
D205W N009.25.44.129 E098.25.11.240
D208B N013.51.45.921 E100.34.57.921
D209B N013.51.53.780 E100.34.42.268
D211P N009.18.28.281 E099.54.35.510
D212M N006.20.34.029 E101.37.47.668
D215G N013.33.42.739 E100.39.52.070
D216O N008.55.28.160 E098.59.19.618
D219F N013.48.54.640 E100.31.52.460
D219K N007.58.12.219 E098.11.33.151
D220Y N010.23.10.510 E099.05.56.108
D222Q N018.35.41.521 E100.35.10.431
D226O N017.02.11.590 E103.57.08.110
D235O N008.58.58.018 E098.55.46.020
D238M N015.07.47.319 E104.40.33.441
D240O N013.46.04.400 E100.22.25.298
D250O N013.48.27.201 E100.21.17.121
D262E N007.29.50.190 E099.32.34.580
D262Q N007.27.55.389 E099.20.38.871
D270Q N018.48.11.779 E100.29.02.299
D282M N016.31.00.001 E102.34.02.539
D295I N007.34.21.388 E099.29.20.871
D299K N008.12.06.029 E098.08.35.008
D299M N018.14.22.041 E099.58.01.581
D307Y N007.11.09.358 E100.03.11.260
D315J N017.30.16.200 E104.30.46.389
D322O N016.57.56.858 E100.07.39.640
D324Q N019.02.13.538 E100.36.14.000
D328L N017.33.17.139 E102.39.50.709
D330O N009.45.52.441 E099.56.06.511
D330T N007.13.26.839 E100.13.12.788
D343I N007.39.11.019 E099.34.54.670
