; VT(R)-1: BANGKOK CITY
N013.03.20.061 E100.04.59.789 N013.03.13.799 E100.05.06.601 Danger
N013.03.13.799 E100.05.06.601 N013.02.56.591 E100.05.31.842 Danger
N013.02.56.591 E100.05.31.842 N013.02.41.801 E100.05.53.513 Danger
N013.02.41.801 E100.05.53.513 N013.02.30.200 E100.05.54.309 Danger
N013.02.30.200 E100.05.54.309 N013.02.03.720 E100.05.39.642 Danger
N013.02.03.720 E100.05.39.642 N013.02.00.599 E100.05.37.912 Danger
N013.02.00.599 E100.05.37.912 N013.01.40.642 E100.05.14.896 Danger
N013.01.40.642 E100.05.14.896 N013.01.20.671 E100.04.51.879 Danger
N013.01.20.671 E100.04.51.879 N013.01.00.710 E100.04.28.863 Danger
N013.01.00.710 E100.04.28.863 N013.00.58.399 E100.04.26.199 Danger
N013.00.58.399 E100.04.26.199 N013.00.35.170 E100.04.06.643 Danger
N013.00.35.170 E100.04.06.643 N013.00.33.000 E100.04.04.803 Danger
N013.00.33.000 E100.04.04.803 N013.00.06.430 E100.03.50.301 Danger
N013.00.06.430 E100.03.50.301 N013.00.00.000 E100.03.46.785 Danger
N013.00.00.000 E100.03.46.785 N013.00.00.000 E099.39.59.991 Danger
N013.00.00.000 E099.39.59.991 N013.49.00.000 E099.22.59.993 Danger
N013.49.00.000 E099.22.59.993 N013.54.09.969 E099.58.18.898 Danger
; VT(D)-17: KANCHANABURI
N014.09.30.060 E099.52.26.127 N014.06.00.001 E100.11.00.004 Danger
N014.06.00.001 E100.11.00.004 N013.56.00.000 E100.11.00.004 Danger
N013.56.00.000 E100.11.00.004 N013.52.53.133 E099.49.28.835 Danger
N013.52.53.133 E099.49.28.835 N014.04.32.574 E099.50.50.684 Danger
N014.04.32.574 E099.50.50.684 N014.09.30.022 E099.52.26.265 Danger
N014.09.30.022 E099.52.26.265 N014.09.30.060 E099.52.26.127 Danger
; VT(D)-17: KANCHANABURI
N014.15.00.000 E099.22.59.993 N014.09.30.520 E099.52.24.617 Danger
N014.09.30.520 E099.52.24.617 N013.58.04.506 E099.49.40.042 Danger
N013.58.04.506 E099.49.40.042 N013.52.53.106 E099.49.27.188 Danger
N013.52.53.106 E099.49.27.188 N013.52.53.171 E099.49.30.868 Danger
N013.52.53.171 E099.49.30.868 N013.49.00.000 E099.22.59.993 Danger
N013.49.00.000 E099.22.59.993 N014.15.00.000 E099.22.59.993 Danger
; VT(D)-18: SUPHAN BURI
N014.33.03.911 E100.13.10.164 N014.19.00.000 E100.24.00.005 Danger
N014.19.00.000 E100.24.00.005 N014.06.00.001 E100.11.00.004 Danger
N014.06.00.001 E100.11.00.004 N014.09.30.678 E099.52.24.177 Danger
N014.09.30.678 E099.52.24.177 N014.19.51.993 E099.58.06.841 Danger
N014.19.51.993 E099.58.06.841 N014.28.25.960 E100.06.24.192 Danger
N014.28.25.960 E100.06.24.192 N014.32.56.107 E100.13.14.641 Danger
N014.32.56.107 E100.13.14.641 N014.33.03.911 E100.13.10.164 Danger
; VT(D)-18: SUPHAN BURI
N014.53.59.999 E099.56.59.989 N014.33.05.497 E100.13.09.258 Danger
N014.33.05.497 E100.13.09.258 N014.26.03.684 E100.03.22.917 Danger
N014.26.03.684 E100.03.22.917 N014.16.49.036 E099.55.49.841 Danger
N014.16.49.036 E099.55.49.841 N014.09.34.530 E099.52.13.850 Danger
N014.09.34.530 E099.52.13.850 N014.09.30.060 E099.52.26.127 Danger
N014.09.30.060 E099.52.26.127 N014.15.00.000 E099.22.59.993 Danger
N014.15.00.000 E099.22.59.993 N014.53.59.999 E099.56.59.989 Danger
; VT(D)-18: SUPHAN BURI
N014.33.03.928 E100.13.10.219 N014.19.00.000 E100.24.00.005 Danger
N014.19.00.000 E100.24.00.005 N014.06.00.001 E100.11.00.004 Danger
N014.06.00.001 E100.11.00.004 N014.09.30.678 E099.52.24.177 Danger
N014.09.30.678 E099.52.24.177 N014.19.51.993 E099.58.06.841 Danger
N014.19.51.993 E099.58.06.841 N014.28.25.960 E100.06.24.192 Danger
N014.28.25.960 E100.06.24.192 N014.32.56.131 E100.13.14.751 Danger
N014.32.56.131 E100.13.14.751 N014.33.03.928 E100.13.10.219 Danger
; VT(D)-18: SUPHAN BURI
N014.53.59.999 E099.56.59.989 N014.33.05.497 E100.13.09.258 Danger
N014.33.05.497 E100.13.09.258 N014.26.03.684 E100.03.22.917 Danger
N014.26.03.684 E100.03.22.917 N014.16.49.036 E099.55.49.841 Danger
N014.16.49.036 E099.55.49.841 N014.09.34.530 E099.52.13.850 Danger
N014.09.34.530 E099.52.13.850 N014.09.30.060 E099.52.26.127 Danger
N014.09.30.060 E099.52.26.127 N014.15.00.000 E099.22.59.993 Danger
N014.15.00.000 E099.22.59.993 N014.53.59.999 E099.56.59.989 Danger
; VT(D)-19: MAE KLONG
N013.23.59.999 E100.15.00.000 N013.22.00.000 E100.22.00.007 Danger
N013.22.00.000 E100.22.00.007 N013.02.00.002 E100.11.59.989 Danger
N013.02.00.002 E100.11.59.989 N013.03.00.001 E100.09.00.005 Danger
N013.03.00.001 E100.09.00.005 N013.23.59.999 E100.15.00.000 Danger
; VT(R)-2: CHITRLADA PALACE
N013.45.59.999 E100.30.00.000 N013.45.57.956 E100.30.16.040 Restricted
N013.45.57.956 E100.30.16.040 N013.45.51.962 E100.30.30.872 Restricted
N013.45.51.962 E100.30.30.872 N013.45.42.424 E100.30.43.726 Restricted
N013.45.42.424 E100.30.43.726 N013.45.30.000 E100.30.53.503 Restricted
N013.45.30.000 E100.30.53.503 N013.45.15.528 E100.30.59.656 Restricted
N013.45.15.528 E100.30.59.656 N013.44.59.997 E100.31.01.743 Restricted
N013.44.59.997 E100.31.01.743 N013.44.44.468 E100.30.59.656 Restricted
N013.44.44.468 E100.30.59.656 N013.44.29.997 E100.30.53.503 Restricted
N013.44.29.997 E100.30.53.503 N013.44.17.572 E100.30.43.726 Restricted
N013.44.17.572 E100.30.43.726 N013.44.08.038 E100.30.30.872 Restricted
N013.44.08.038 E100.30.30.872 N013.44.02.044 E100.30.16.040 Restricted
N013.44.02.044 E100.30.16.040 N013.44.00.001 E100.30.00.000 Restricted
N013.44.00.001 E100.30.00.000 N013.44.02.044 E100.29.43.960 Restricted
N013.44.02.044 E100.29.43.960 N013.44.08.038 E100.29.29.128 Restricted
N013.44.08.038 E100.29.29.128 N013.44.17.572 E100.29.16.274 Restricted
N013.44.17.572 E100.29.16.274 N013.44.29.997 E100.29.06.497 Restricted
N013.44.29.997 E100.29.06.497 N013.44.44.468 E100.29.00.344 Restricted
N013.44.44.468 E100.29.00.344 N013.44.59.997 E100.28.58.257 Restricted
N013.44.59.997 E100.28.58.257 N013.45.15.528 E100.29.00.344 Restricted
N013.45.15.528 E100.29.00.344 N013.45.30.000 E100.29.06.497 Restricted
N013.45.30.000 E100.29.06.497 N013.45.42.424 E100.29.16.274 Restricted
N013.45.42.424 E100.29.16.274 N013.45.51.962 E100.29.29.128 Restricted
N013.45.51.962 E100.29.29.128 N013.45.57.956 E100.29.43.960 Restricted
N013.45.57.956 E100.29.43.960 N013.45.59.999 E100.30.00.000 Restricted
; VT(D)-20: HUA HIN
N013.00.29.220 E099.36.33.201 N013.00.00.000 E100.09.59.991 Danger
N013.00.00.000 E100.09.59.991 N012.10.36.060 E100.09.43.374 Danger
N012.10.36.060 E100.09.43.374 N012.08.20.379 E100.02.01.289 Danger
N012.08.20.379 E100.02.01.289 N012.08.06.028 E099.53.58.989 Danger
N012.08.06.028 E099.53.58.989 N012.09.53.976 E099.46.09.214 Danger
N012.09.53.976 E099.46.09.214 N012.13.36.906 E099.39.03.823 Danger
N012.13.36.906 E099.39.03.823 N012.18.59.701 E099.33.11.821 Danger
N012.18.59.701 E099.33.11.821 N012.25.40.455 E099.28.57.048 Danger
N012.25.40.455 E099.28.57.048 N012.33.11.935 E099.26.36.973 Danger
N012.33.11.935 E099.26.36.973 N012.41.03.427 E099.26.21.262 Danger
N012.41.03.427 E099.26.21.262 N012.48.42.810 E099.28.11.235 Danger
N012.48.42.810 E099.28.11.235 N012.55.38.738 E099.31.59.531 Danger
N012.55.38.738 E099.31.59.531 N013.00.32.386 E099.36.30.344 Danger
N013.00.32.386 E099.36.30.344 N013.00.29.220 E099.36.33.201 Danger
; VT(D)-21: SATTAHIP BAY
N012.40.00.001 E100.30.00.000 N012.40.00.001 E100.40.48.001 Danger
N012.40.00.001 E100.40.48.001 N012.19.59.999 E100.40.48.001 Danger
