CCCC_CTR   N036.25.00.005 E087.22.59.993 N036.01.59.998 E089.01.00.013
           N027.45.59.999 E091.39.59.991 N027.55.59.997 E091.41.00.004
           N027.55.59.997 E091.41.00.004 N027.59.00.001 E091.28.59.987
           N027.59.00.001 E091.28.59.987 N028.05.00.002 E091.20.00.009
           N028.05.00.002 E091.20.00.009 N028.04.00.003 E091.13.00.002
           N028.04.00.003 E091.13.00.002 N027.58.00.002 E091.07.00.007
           N027.58.00.002 E091.07.00.007 N027.59.00.001 E091.01.00.013
           N027.59.00.001 E091.01.00.013 N028.01.59.998 E090.58.00.002
           N028.01.59.998 E090.58.00.002 N028.04.00.003 E090.43.59.987
           N028.04.00.003 E090.43.59.987 N028.05.00.002 E090.22.00.007
           N028.05.00.002 E090.22.00.007 N028.14.00.001 E090.22.59.993
           N028.14.00.001 E090.22.59.993 N028.19.00.003 E090.00.00.000
           N028.19.00.003 E090.00.00.000 N028.16.59.998 E089.56.59.989
           N028.16.59.998 E089.56.59.989 N028.17.59.997 E089.54.00.005
           N028.17.59.997 E089.54.00.005 N028.10.59.997 E089.46.59.998
           N028.10.59.997 E089.46.59.998 N028.08.59.999 E089.35.59.995
           N028.08.59.999 E089.35.59.995 N028.00.00.000 E089.28.00.002
           N028.00.00.000 E089.28.00.002 N027.58.00.002 E089.20.59.995
           N027.58.00.002 E089.20.59.995 N027.53.00.000 E089.22.59.993
           N027.53.00.000 E089.22.59.993 N027.50.00.002 E089.16.00.013
           N027.50.00.002 E089.16.00.013 N027.35.00.002 E089.07.59.993
           N027.35.00.002 E089.07.59.993 N027.35.00.002 E089.05.00.009
           N027.35.00.002 E089.05.00.009 N027.30.00.000 E089.00.00.000
           N027.30.00.000 E089.00.00.000 N027.23.00.000 E088.58.00.002
           N027.23.00.000 E088.58.00.002 N027.16.59.998 E089.00.00.000
           N027.16.59.998 E089.00.00.000 N027.17.59.997 E088.56.00.004
           N027.17.59.997 E088.56.00.004 N027.23.00.000 E088.48.59.996
           N027.23.00.000 E088.48.59.996 N027.30.59.999 E088.35.59.995
           N027.30.59.999 E088.35.59.995 N027.37.00.000 E088.50.59.995
           N027.37.00.000 E088.50.59.995 N027.47.59.997 E088.52.59.993
           N027.47.59.997 E088.52.59.993 N027.53.59.999 E088.50.00.009
           N027.53.59.999 E088.50.00.009 N028.00.00.000 E088.50.59.995
           N028.00.00.000 E088.50.59.995 N028.05.00.002 E088.41.00.004
           N028.05.00.002 E088.41.00.004 N028.08.00.000 E088.37.59.993
           N028.08.00.000 E088.37.59.993 N028.01.59.998 E088.33.00.011
           N028.01.59.998 E088.33.00.011 N028.02.59.997 E088.30.00.000
           N028.02.59.997 E088.30.00.000 N028.00.00.000 E088.26.59.989
           N028.00.00.000 E088.26.59.989 N027.57.00.003 E088.16.00.013
           N027.57.00.003 E088.16.00.013 N027.57.00.003 E088.07.59.993
           N027.57.00.003 E088.07.59.993 N027.52.00.000 E088.09.59.991
           N027.52.00.000 E088.09.59.991 N027.54.59.998 E088.00.00.000
           N027.54.59.998 E088.00.00.000 N027.49.00.003 E087.52.59.993
           N027.49.00.003 E087.52.59.993 N027.51.00.001 E087.09.00.005
           N027.51.00.001 E087.09.00.005 N028.06.00.001 E086.41.00.004
           N028.06.00.001 E086.41.00.004 N028.00.00.000 E086.31.00.013
