VDPP_CTR   N014.41.09.600 E107.32.40.593 N014.37.03.001 E107.33.24.099
           N014.30.47.801 E106.26.08.491 N014.30.34.899 E106.28.52.489
           N014.30.34.899 E106.28.52.489 N014.32.48.499 E106.27.49.510
           N014.32.48.499 E106.27.49.510 N014.35.15.400 E106.31.57.307
           N014.35.15.400 E106.31.57.307 N014.29.55.001 E106.34.01.095
           N014.29.55.001 E106.34.01.095 N014.29.23.900 E106.36.54.597
           N014.29.23.900 E106.36.54.597 N014.26.18.100 E106.38.01.311
           N014.26.18.100 E106.38.01.311 N014.25.41.701 E106.44.08.309
           N014.25.41.701 E106.44.08.309 N014.17.13.501 E106.50.47.305
           N014.17.13.501 E106.50.47.305 N014.19.47.100 E106.54.17.611
           N014.19.47.100 E106.54.17.611 N014.18.28.902 E106.58.04.698
           N014.18.28.902 E106.58.04.698 N014.26.23.899 E107.02.30.897
           N014.26.23.899 E107.02.30.897 N014.23.20.300 E107.05.30.194
           N014.23.20.300 E107.05.30.194 N014.24.56.101 E107.10.25.095
           N014.24.56.101 E107.10.25.095 N014.28.49.399 E107.12.38.798
           N014.28.49.399 E107.12.38.798 N014.29.07.599 E107.15.37.903
           N014.29.07.599 E107.15.37.903 N014.34.59.298 E107.18.16.600
           N014.34.59.298 E107.18.16.600 N014.31.24.701 E107.26.58.314
           N014.31.24.701 E107.26.58.314 N014.36.31.999 E107.27.57.200
           N014.36.31.999 E107.27.57.200 N014.41.09.600 E107.32.40.593
