DDDD_CTR   N018.54.19.698 E104.35.11.407 N018.48.22.602 E104.44.43.603
           N020.45.18.100 E103.47.46.196 N020.51.25.098 E103.48.35.689
           N020.51.25.098 E103.48.35.689 N020.54.27.801 E104.01.57.691
           N020.54.27.801 E104.01.57.691 N020.58.54.597 E104.07.23.106
           N020.58.54.597 E104.07.23.106 N020.54.47.803 E104.18.21.599
           N020.54.47.803 E104.18.21.599 N020.42.55.800 E104.30.08.597
           N020.42.55.800 E104.30.08.597 N020.40.04.303 E104.38.36.687
           N020.40.04.303 E104.38.36.687 N020.31.16.300 E104.32.56.990
           N020.31.16.300 E104.32.56.990 N020.31.50.502 E104.27.50.911
           N020.31.50.502 E104.27.50.911 N020.26.40.001 E104.22.42.112
           N020.26.40.001 E104.22.42.112 N020.25.21.201 E104.37.12.587
           N020.25.21.201 E104.37.12.587 N020.19.24.503 E104.43.03.188
           N020.19.24.503 E104.43.03.188 N020.12.48.899 E104.40.37.701
           N020.12.48.899 E104.40.37.701 N020.13.47.902 E104.50.22.202
           N020.13.47.902 E104.50.22.202 N020.10.35.600 E104.56.57.599
           N020.10.35.600 E104.56.57.599 N020.00.00.000 E104.58.39.388
           N020.00.00.000 E104.58.39.388 N019.59.53.600 E104.53.50.695
           N019.59.53.600 E104.53.50.695 N019.55.01.900 E104.47.58.693
           N019.55.01.900 E104.47.58.693 N019.52.49.102 E104.46.31.296
           N019.52.49.102 E104.46.31.296 N019.51.34.897 E104.50.21.295
           N019.51.34.897 E104.50.21.295 N019.48.06.397 E104.50.22.311
           N019.48.06.397 E104.50.22.311 N019.44.37.402 E104.42.09.794
           N019.44.37.402 E104.42.09.794 N019.37.27.700 E104.39.03.109
           N019.37.27.700 E104.39.03.109 N019.37.34.800 E104.30.49.905
           N019.37.34.800 E104.30.49.905 N019.42.35.097 E104.25.11.609
           N019.42.35.097 E104.25.11.609 N019.39.53.502 E104.06.42.814
           N019.39.53.502 E104.06.42.814 N019.42.10.598 E104.02.43.010
           N019.42.10.598 E104.02.43.010 N019.30.14.797 E104.07.34.889
           N019.30.14.797 E104.07.34.889 N019.25.24.401 E104.04.44.601
           N019.25.24.401 E104.04.44.601 N019.18.43.702 E103.52.34.504
           N019.18.43.702 E103.52.34.504 N019.11.51.502 E104.11.15.604
           N019.11.51.502 E104.11.15.604 N019.07.10.238 E104.13.25.023
           N019.07.10.238 E104.13.25.023 N018.58.49.701 E104.32.32.902
