AAAA_CTR   N021.30.20.840 E108.01.33.494 N021.12.35.001 E108.12.30.998
           N022.49.27.400 E104.44.00.591 N022.57.10.701 E104.51.57.508
           N022.57.10.701 E104.51.57.508 N023.07.31.401 E104.49.06.094
           N023.07.31.401 E104.49.06.094 N023.15.54.801 E105.04.51.989
           N023.15.54.801 E105.04.51.989 N023.16.44.102 E105.14.12.594
           N023.16.44.102 E105.14.12.594 N023.23.19.802 E105.20.06.601
           N023.23.19.802 E105.20.06.601 N023.11.13.400 E105.33.22.890
           N023.11.13.400 E105.33.22.890 N023.04.24.702 E105.35.00.888
           N023.04.24.702 E105.35.00.888 N023.04.02.400 E105.43.36.888
           N023.04.02.400 E105.43.36.888 N022.55.15.701 E105.52.50.187
           N022.55.15.701 E105.52.50.187 N022.56.18.900 E106.00.07.388
           N022.56.18.900 E106.00.07.388 N022.59.39.202 E106.00.34.909
           N022.59.39.202 E106.00.34.909 N022.59.42.099 E106.09.14.507
           N022.59.42.099 E106.09.14.507 N022.57.22.298 E106.14.35.995
           N022.57.22.298 E106.14.35.995 N022.52.05.899 E106.17.20.790
           N022.52.05.899 E106.17.20.790 N022.52.26.999 E106.24.54.690
           N022.52.26.999 E106.24.54.690 N022.56.51.399 E106.32.25.898
           N022.56.51.399 E106.32.25.898 N022.48.41.402 E106.49.30.895
           N022.48.41.402 E106.49.30.895 N022.35.09.698 E106.43.54.109
           N022.35.09.698 E106.43.54.109 N022.32.50.501 E106.35.44.614
           N022.32.50.501 E106.35.44.614 N022.27.24.701 E106.33.53.899
           N022.27.24.701 E106.33.53.899 N022.20.48.301 E106.34.11.312
           N022.20.48.301 E106.34.11.312 N022.20.12.602 E106.39.31.399
           N022.20.12.602 E106.39.31.399 N022.16.52.500 E106.41.38.511
           N022.16.52.500 E106.41.38.511 N021.57.57.001 E106.41.49.113
           N021.57.57.001 E106.41.49.113 N022.00.58.997 E106.45.30.707
           N022.00.58.997 E106.45.30.707 N021.58.43.501 E106.55.25.012
           N021.58.43.501 E106.55.25.012 N021.55.52.897 E106.56.16.703
           N021.55.52.897 E106.56.16.703 N021.56.59.701 E107.01.16.904
           N021.56.59.701 E107.01.16.904 N021.53.52.700 E107.03.49.587
           N021.53.52.700 E107.03.49.587 N021.49.31.802 E107.01.33.713
           N021.49.31.802 E107.01.33.713 N021.42.22.600 E107.14.13.802
           N021.42.22.600 E107.14.13.802 N021.44.31.298 E107.18.24.401
           N021.44.31.298 E107.18.24.401 N021.35.53.602 E107.23.00.789
           N021.35.53.602 E107.23.00.789 N021.39.55.802 E107.28.12.197
           N021.39.55.802 E107.28.12.197 N021.36.43.699 E107.30.14.612
           N021.36.43.699 E107.30.14.612 N021.36.17.202 E107.39.11.514
           N021.36.17.202 E107.39.11.514 N021.39.17.103 E107.52.05.803
           N021.39.17.103 E107.52.05.803 N021.32.37.798 E107.57.28.389
           N021.32.37.798 E107.57.28.389 N021.32.36.500 E108.02.03.706
