VTBB_CTR   N011.39.06.000 E102.54.59.002 N010.00.07.100 E102.14.47.613
           N019.46.12.503 E098.10.16.113 N019.40.42.899 E098.15.18.210
           N019.40.42.899 E098.15.18.210 N019.42.57.798 E098.30.54.794
           N019.42.57.798 E098.30.54.794 N019.40.23.797 E098.33.59.310
           N019.40.23.797 E098.33.59.310 N019.48.41.402 E098.50.13.000
           N019.48.41.402 E098.50.13.000 N019.44.40.898 E098.55.04.990
           N019.44.40.898 E098.55.04.990 N019.46.30.898 E099.00.12.799
           N019.46.30.898 E099.00.12.799 N020.05.33.202 E099.04.31.500
           N020.05.33.202 E099.04.31.500 N020.07.37.601 E099.12.56.596
           N020.07.37.601 E099.12.56.596 N020.03.50.802 E099.19.49.709
           N020.03.50.802 E099.19.49.709 N020.08.41.102 E099.32.14.198
           N020.08.41.102 E099.32.14.198 N020.12.09.698 E099.33.34.096
           N020.12.09.698 E099.33.34.096 N020.23.24.499 E099.27.59.288
           N020.23.24.499 E099.27.59.288 N020.18.55.698 E099.41.19.202
           N020.18.55.698 E099.41.19.202 N020.20.08.702 E099.48.27.999
           N020.20.08.702 E099.48.27.999 N020.26.31.699 E099.53.02.108
           N020.26.31.699 E099.53.02.108 N020.27.47.498 E099.58.07.692
           N020.27.47.498 E099.58.07.692 N020.22.30.700 E100.05.02.289
           N020.22.30.700 E100.05.02.289 N020.15.10.197 E100.06.22.489
           N020.15.10.197 E100.06.22.489 N020.14.14.002 E100.10.09.412
           N020.14.14.002 E100.10.09.412 N020.23.30.301 E100.16.03.089
           N020.23.30.301 E100.16.03.089 N020.22.27.899 E100.21.27.900
           N020.22.27.899 E100.21.27.900 N020.11.39.898 E100.27.25.587
           N020.11.39.898 E100.27.25.587 N020.08.24.602 E100.31.38.602
           N020.08.24.602 E100.31.38.602 N020.10.07.599 E100.34.53.088
           N020.10.07.599 E100.34.53.088 N019.54.22.397 E100.31.15.311
           N019.54.22.397 E100.31.15.311 N019.45.38.397 E100.24.43.813
           N019.45.38.397 E100.24.43.813 N019.31.22.500 E100.31.32.203
           N019.31.22.500 E100.31.32.203 N019.30.06.400 E100.35.20.389
           N019.30.06.400 E100.35.20.389 N019.33.29.097 E100.38.33.089
           N019.33.29.097 E100.38.33.089 N019.29.24.397 E100.46.15.394
           N019.29.24.397 E100.46.15.394 N019.37.52.598 E100.53.51.491
           N019.37.52.598 E100.53.51.491 N019.34.13.997 E101.17.08.705
           N019.34.13.997 E101.17.08.705 N019.21.31.402 E101.12.14.106
           N019.21.31.402 E101.12.14.106 N019.07.41.398 E101.15.30.899
           N019.07.41.398 E101.15.30.899 N019.02.48.002 E101.21.18.891
           N019.02.48.002 E101.21.18.891 N018.53.37.298 E101.15.03.296
           N018.53.37.298 E101.15.03.296 N018.43.58.799 E101.13.40.102
           N018.43.58.799 E101.13.40.102 N018.41.15.803 E101.16.26.710
           N018.41.15.803 E101.16.26.710 N018.26.48.598 E101.03.43.187
           N018.26.48.598 E101.03.43.187 N018.19.58.499 E101.11.12.913
           N018.19.58.499 E101.11.12.913 N018.15.36.701 E101.09.01.489
           N018.15.36.701 E101.09.01.489 N018.03.56.103 E101.11.18.296
           N018.03.56.103 E101.11.18.296 N017.53.22.103 E101.01.29.511
           N017.53.22.103 E101.01.29.511 N017.34.19.703 E100.57.36.299
           N017.34.19.703 E100.57.36.299 N017.28.00.599 E101.09.59.606
           N017.28.00.599 E101.09.59.606 N017.38.57.499 E101.18.56.810
           N017.38.57.499 E101.18.56.810 N017.40.50.500 E101.24.28.405
           N017.40.50.500 E101.24.28.405 N017.43.58.099 E101.24.34.008
           N017.43.58.099 E101.24.34.008 N017.43.31.402 E101.29.54.012
           N017.43.31.402 E101.29.54.012 N017.47.01.900 E101.34.51.412
           N017.47.01.900 E101.34.51.412 N017.51.58.600 E101.34.51.605
           N017.51.58.600 E101.34.51.605 N017.55.05.601 E101.44.14.901
           N017.55.05.601 E101.44.14.901 N018.03.50.301 E101.46.37.009
           N018.03.50.301 E101.46.37.009 N018.01.56.702 E101.54.33.788
           N018.01.56.702 E101.54.33.788 N018.13.11.098 E102.05.03.909
           N018.13.11.098 E102.05.03.909 N018.12.35.901 E102.09.55.294
           N018.12.35.901 E102.09.55.294 N018.04.11.498 E102.16.18.690
           N018.04.11.498 E102.16.18.690 N017.58.42.299 E102.26.48.398
           N017.58.42.299 E102.26.48.398 N017.57.42.197 E102.36.05.405
           N017.57.42.197 E102.36.05.405 N017.50.45.300 E102.35.23.987
           N017.50.45.300 E102.35.23.987 N017.48.17.898 E102.40.43.909
           N017.48.17.898 E102.40.43.909 N017.52.17.599 E102.41.25.492
           N017.52.17.599 E102.41.25.492 N017.58.14.799 E102.51.39.792
           N017.58.14.799 E102.51.39.792 N017.59.05.199 E103.02.42.296
           N017.59.05.199 E103.02.42.296 N018.14.32.699 E103.09.25.411
           N018.14.32.699 E103.09.25.411 N018.18.37.797 E103.17.43.889
           N018.18.37.797 E103.17.43.889 N018.21.51.198 E103.14.32.589
           N018.21.51.198 E103.14.32.589 N018.26.08.497 E103.18.52.993
           N018.26.08.497 E103.18.52.993 N018.26.14.897 E103.30.49.191
           N018.26.14.897 E103.30.49.191 N018.17.18.002 E103.51.58.689
           N018.17.18.002 E103.51.58.689 N018.20.04.301 E103.58.24.007
           N018.20.04.301 E103.58.24.007 N017.52.22.797 E104.16.30.692
           N017.52.22.797 E104.16.30.692 N017.24.00.500 E104.48.10.695
           N017.24.00.500 E104.48.10.695 N017.10.35.703 E104.48.27.697
           N017.10.35.703 E104.48.27.697 N017.01.01.599 E104.43.59.795
           N017.01.01.599 E104.43.59.795 N016.31.11.899 E104.45.25.214
           N016.31.11.899 E104.45.25.214 N016.14.57.501 E105.00.44.687
           N016.14.57.501 E105.00.44.687 N016.07.03.200 E105.03.06.713
           N016.07.03.200 E105.03.06.713 N016.00.12.703 E105.25.32.291
           N016.00.12.703 E105.25.32.291 N015.55.14.798 E105.20.44.888
           N015.55.14.798 E105.20.44.888 N015.48.02.799 E105.23.57.698
           N015.48.02.799 E105.23.57.698 N015.43.06.700 E105.36.10.102
           N015.43.06.700 E105.36.10.102 N015.39.28.100 E105.38.16.307
           N015.39.28.100 E105.38.16.307 N015.25.10.699 E105.35.36.292
           N015.25.10.699 E105.35.36.292 N015.20.41.301 E105.28.14.696
           N015.20.41.301 E105.28.14.696 N015.18.47.400 E105.35.02.289
           N015.18.47.400 E105.35.02.289 N015.06.43.202 E105.28.02.501
           N015.06.43.202 E105.28.02.501 N014.58.28.700 E105.37.20.387
           N014.58.28.700 E105.37.20.387 N014.56.32.101 E105.33.35.497
           N014.56.32.101 E105.33.35.497 N014.52.46.201 E105.34.46.990
           N014.52.46.201 E105.34.46.990 N014.48.04.000 E105.30.51.306
           N014.48.04.000 E105.30.51.306 N014.33.10.101 E105.32.06.205
           N014.33.10.101 E105.32.06.205 N014.25.10.400 E105.26.24.613
           N014.25.10.400 E105.26.24.613 N014.20.01.499 E105.10.41.107
           N014.20.01.499 E105.10.41.107 N014.13.28.000 E105.08.05.788
           N014.13.28.000 E105.08.05.788 N014.12.51.199 E105.03.06.795
           N014.12.51.199 E105.03.06.795 N014.22.22.900 E104.59.53.106
           N014.22.22.900 E104.59.53.106 N014.26.03.602 E104.48.19.210
           N014.26.03.602 E104.48.19.210 N014.25.16.899 E104.38.46.300
           N014.25.16.899 E104.38.46.300 N014.20.58.298 E104.33.33.190
           N014.20.58.298 E104.33.33.190 N014.24.02.199 E104.12.20.506
           N014.24.02.199 E104.12.20.506 N014.21.05.800 E104.10.30.505
           N014.21.05.800 E104.10.30.505 N014.19.36.900 E103.55.32.291
           N014.19.36.900 E103.55.32.291 N014.22.39.400 E103.42.50.197
           N014.22.39.400 E103.42.50.197 N014.26.22.199 E103.39.45.187
           N014.26.22.199 E103.39.45.187 N014.23.48.600 E103.37.44.090
           N014.23.48.600 E103.37.44.090 N014.25.10.301 E103.33.33.794
           N014.25.10.301 E103.33.33.794 N014.21.44.101 E103.28.08.406
           N014.21.44.101 E103.28.08.406 N014.19.46.699 E103.11.12.995
           N014.19.46.699 E103.11.12.995 N014.10.39.899 E102.56.31.891
           N014.10.39.899 E102.56.31.891 N014.01.10.900 E102.54.49.389
           N014.01.10.900 E102.54.49.389 N013.55.56.299 E102.47.41.993
           N013.55.56.299 E102.47.41.993 N013.46.09.399 E102.43.58.092
           N013.46.09.399 E102.43.58.092 N013.40.09.401 E102.33.47.005
           N013.40.09.401 E102.33.47.005 N013.36.21.500 E102.37.36.894
           N013.36.21.500 E102.37.36.894 N013.33.08.100 E102.20.38.187
           N013.33.08.100 E102.20.38.187 N013.15.45.600 E102.21.47.813
           N013.15.45.600 E102.21.47.813 N013.05.06.800 E102.26.18.214
           N013.05.06.800 E102.26.18.214 N012.59.58.301 E102.31.55.192
           N012.59.58.301 E102.31.55.192 N012.58.26.499 E102.29.08.309
           N012.58.26.499 E102.29.08.309 N012.48.42.998 E102.32.41.609
           N012.48.42.998 E102.32.41.609 N012.40.05.000 E102.30.57.294
           N012.40.05.000 E102.30.57.294 N012.36.12.299 E102.38.35.808
           N012.36.12.299 E102.38.35.808 N012.26.12.198 E102.47.33.397
           N012.26.12.198 E102.47.33.397 N012.10.21.400 E102.42.56.212
           N012.10.21.400 E102.42.56.212 N011.45.39.801 E102.54.44.610
           N011.45.39.801 E102.54.44.610 N011.38.10.001 E102.55.10.291
           N011.38.10.001 E102.55.10.291 N011.39.06.000 E102.54.59.002
