VYYY_CTR   N022.08.59.999 E092.37.00.007 N021.58.33.098 E092.36.31.690
           N023.05.01.499 E099.30.40.594 N022.56.19.202 E099.33.48.708
           N022.56.19.202 E099.33.48.708 N022.54.29.799 E099.30.32.712
           N022.54.29.799 E099.30.32.712 N022.56.48.701 E099.26.44.800
           N022.56.48.701 E099.26.44.800 N022.51.04.197 E099.26.52.408
           N022.51.04.197 E099.26.52.408 N022.45.03.900 E099.19.31.692
           N022.45.03.900 E099.19.31.692 N022.29.57.899 E099.23.22.295
           N022.29.57.899 E099.23.22.295 N022.23.15.600 E099.15.07.388
           N022.23.15.600 E099.15.07.388 N022.20.54.398 E099.16.35.801
           N022.20.54.398 E099.16.35.801 N022.09.18.902 E099.10.08.313
           N022.09.18.902 E099.10.08.313 N022.05.59.198 E099.20.16.791
           N022.05.59.198 E099.20.16.791 N022.08.14.900 E099.28.35.103
           N022.08.14.900 E099.28.35.103 N022.06.17.497 E099.39.09.399
           N022.06.17.497 E099.39.09.399 N022.02.35.697 E099.42.10.399
           N022.02.35.697 E099.42.10.399 N022.04.40.598 E099.45.28.510
           N022.04.40.598 E099.45.28.510 N022.01.26.098 E099.50.57.193
           N022.01.26.098 E099.50.57.193 N022.03.58.101 E099.52.55.296
           N022.03.58.101 E099.52.55.296 N022.03.07.303 E099.58.14.202
           N022.03.07.303 E099.58.14.202 N021.44.21.397 E099.58.40.212
           N021.44.21.397 E099.58.40.212 N021.39.35.697 E100.10.21.112
           N021.39.35.697 E100.10.21.112 N021.34.47.897 E100.06.50.010
           N021.34.47.897 E100.06.50.010 N021.26.21.702 E100.12.09.300
           N021.26.21.702 E100.12.09.300 N021.32.25.603 E100.22.52.797
           N021.32.25.603 E100.22.52.797 N021.27.28.499 E100.29.31.600
           N021.27.28.499 E100.29.31.600 N021.28.58.998 E100.40.43.112
           N021.28.58.998 E100.40.43.112 N021.38.57.101 E100.50.05.695
           N021.38.57.101 E100.50.05.695 N021.46.34.201 E101.07.03.798
           N021.46.34.201 E101.07.03.798 N021.39.41.699 E101.07.02.095
           N021.39.41.699 E101.07.02.095 N021.36.10.102 E101.10.36.411
           N021.36.10.102 E101.10.36.411 N021.31.40.600 E101.10.05.209
